error_message,input_borough,input_hnum,input_street,uid
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2845,BRIGHTON 6 STREET,302228435
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2353,CROPSEY AVENUE,302390838
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,206,MYRTLE AVENUE,302391846
ADDRESS NUMBER OUT OF RANGE ,Queens,8,SUMMIT COURT,401648277
ADDRESS NUMBER OUT OF RANGE ,Queens,172-11,HIGHLAND AVENUE,402312608
ADDRESS NUMBER OUT OF RANGE ,Queens,65-60,AUSTIN STREET,402663177
ADDRESS NUMBER OUT OF RANGE ,Queens,4329,CRESCENT STREET,402666110
ADDRESS NUMBER OUT OF RANGE ,Queens,46-31,5 STREET,402667752
ADDRESS NUMBER OUT OF RANGE ,Queens,141-16,CHERRY AVENUE,402666888
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1,WINSLOW PLACE,520188047
ADDRESS NUMBER OUT OF RANGE ,Queens,83-65,116TH ST,421166838
THIS STREET HAS NO ADDRESSES ,Queens,10,WOODROW COTTAGES,420366525
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1150,FOREST AVENUE,520069791
ADDRESS NUMBER OUT OF RANGE ,Queens,143-14,QUINCE AVENUE,420981897
ADDRESS NUMBER OUT OF RANGE ,Queens,58-80,GRAND AVENUE,402680602
ADDRESS NUMBER OUT OF RANGE ,Queens,58-19,58 DRIVE,402680595
ADDRESS NUMBER OUT OF RANGE ,Queens,83-79,117 STREET,401647492
'NORTHERN BOLULEVARD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Queens,150-09,NORTHERN BOLULEVARD,401831764
'SEGINE AVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. ,Staten Island,286,SEGINE AVE,500407552
'FATHER CAPODANO BOULEVARD' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Staten Island,891,FATHER CAPODANO BOULEVARD,500436290
ADDRESS NUMBER OUT OF RANGE ,Staten Island,51,WILLIS AVENUE,500499757
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1008,MANOR ROAD,500526843
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1300,RICHMOND TERRACE,500590381
ADDRESS NUMBER OUT OF RANGE ,Staten Island,39,SOUTH AVENUE,500641120
ADDRESS NUMBER OUT OF RANGE ,Queens,65-11,QUEENS BLVD,420178177
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,244 GARAGE,HAWTHORNE STREET,321269621
ADDRESS NUMBER OUT OF RANGE ,Queens,250-09,88 ROAD,420549197
ADDRESS NUMBER OUT OF RANGE ,Queens,162-17 GAR,46 AVENUE,421357141
ADDRESS NUMBER OUT OF RANGE ,Queens,66-60 REAR,69 ST,421430945
ADDRESS NUMBER OUT OF RANGE ,Queens,138-38,33 AVENUE,410050527
ADDRESS NUMBER OUT OF RANGE ,Staten Island,268G,ELIZABETH STREET,520236236
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,129C,DEGRAW STREET,302052356
ADDRESS NUMBER OUT OF RANGE ,Queens,175-17,BRINKERHOFF AVENUE,402189868
ADDRESS NUMBER OUT OF RANGE ,Bronx,5,MARISA COURT,200850980
ADDRESS NUMBER OUT OF RANGE ,Queens,267-20,74 AVENUE,401573784
'FREDERICK DOULGASS BOULEVARD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Manhattan,2280,FREDERICK DOULGASS BOULEVARD,104893929
ADDRESS NUMBER OUT OF RANGE ,Bronx,260,ZEREGA AVENUE,200740939
ADDRESS NUMBER OUT OF RANGE ,Staten Island,22,BURGUNDY LOOP,510069701
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1278,ST MARK''S AVENUE,302347084
'SACKETT' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Brooklyn,288,SACKETT,320203203
'ST JOHN''S PL' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1335,ST JOHN''S PL,320535211
ADDRESS NUMBER OUT OF RANGE ,Staten Island,480,ROBINSON AVENUE,500479966
ADDRESS NUMBER OUT OF RANGE ,Staten Island,110,HIGHLAND ROAD,500531846
ADDRESS NUMBER OUT OF RANGE ,Staten Island,93,BURKE AVENUE,500594582
ADDRESS NUMBER OUT OF RANGE ,Queens,147-31,230 PL,420470305
ADDRESS NUMBER OUT OF RANGE ,Queens,246-18,ALAMEDA AVE,420829544
ADDRESS NUMBER OUT OF RANGE ,Queens,381,BAYSIDE,420953597
ADDRESS NUMBER OUT OF RANGE ,Staten Island,239,SINCLAIR AVENUE,520271018
ADDRESS NUMBER OUT OF RANGE ,Staten Island,334,CLEVELAND AVENUE,520286235
ADDRESS NUMBER OUT OF RANGE ,Staten Island,252,RICHMOND AVENUE,510019016
ADDRESS NUMBER OUT OF RANGE ,Queens,39-06,NORTHERN BOULEVARD,401272886
ADDRESS NUMBER OUT OF RANGE ,Staten Island,966,HUGUENOT AVENUE,500519049
ADDRESS NUMBER OUT OF RANGE ,Queens,84-07,QUEENS BOULEVARD,420287335
'ST. MARK''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,8,ST. MARK''S PLACE,320908746
ADDRESS NUMBER OUT OF RANGE ,Manhattan,114,WEST 28 STREET,104402941
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,874,SCHENCK AVENUE,310231219
ADDRESS NUMBER OUT OF RANGE ,Queens,376,BEACH 92 STREET,410038285
ADDRESS NUMBER OUT OF RANGE ,Queens,150-37,SULLIVAN DRIVE,421256492
'ST LUKE''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Manhattan,14,ST LUKE''S PLACE,121326083
ADDRESS NUMBER OUT OF RANGE ,Staten Island,236,YETMAN AVE,510113173
ADDRESS NUMBER OUT OF RANGE ,Staten Island,108,CROAK AVENUE,520311074
ADDRESS NUMBER OUT OF RANGE ,Queens,174-25,142 STREET,401218446
ADDRESS NUMBER OUT OF RANGE ,Queens,37-43,57 STREET,421342381
ADDRESS NUMBER OUT OF RANGE ,Staten Island,45,VANDERBILT AVENUE,510013771
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,557,UTICA AVENUE,301667747
'ST. STEPHEN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Staten Island,97,ST. STEPHEN''S PLACE,520000551
ADDRESS NUMBER OUT OF RANGE ,Queens,135-08,102 AVENUE,402431249
ADDRESS NUMBER OUT OF RANGE ,Queens,93-11,WHITNEY AVENUE,402074287
ADDRESS NUMBER OUT OF RANGE ,Queens,1504,PINE COURT,420015771
ADDRESS NUMBER OUT OF RANGE ,Queens,132-31A,41 ROAD,401820623
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1123,STANLEY AVENUE,301852555
ADDRESS NUMBER OUT OF RANGE ,Queens,129-18,6TH AVENUE,410126028
THIS STREET HAS NO ADDRESSES ,Queens,133-41,SPRING HILL LANE,401952758
THIS STREET HAS NO ADDRESSES ,Queens,133-56,STONE RIDGE LANE,401952874
ADDRESS NUMBER OUT OF RANGE ,Bronx,4498,PARK AVENUE,200707887
ADDRESS NUMBER OUT OF RANGE ,Bronx,717,E214 STREET,220124906
THIS STREET HAS NO ADDRESSES ,Staten Island,24,WALTON AVENUE,500567371
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,330,CLARKSON AVENUE,301559613
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,871,VAN SICLEN AVENUE,310196098
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,664,STANLEY AVENUE,310196052
ADDRESS NUMBER OUT OF RANGE ,Queens,164-22,85TH AVENUE,410233509
ADDRESS NUMBER OUT OF RANGE ,Manhattan,178,EAST 93 STREET,104534513
ADDRESS NUMBER OUT OF RANGE ,Queens,172-60,BROCHER ROAD,402528528
ADDRESS NUMBER OUT OF RANGE ,Queens,127-02,LOCUST MANOR LANE,402412698
'GREENPOINT AVENUW' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,353,GREENPOINT AVENUW,320052214
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,54,MASPETH AVENUE,302309400
ADDRESS NUMBER OUT OF RANGE ,Queens,136-30,39 AVENUE,420321761
ADDRESS NUMBER OUT OF RANGE ,Queens,41-20,27 STREET,401813301
'ST JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,951,ST JOHN''S PLACE,301792816
ADDRESS NUMBER OUT OF RANGE ,Queens,111-24,37 AVENUE,401706258
ADDRESS NUMBER OUT OF RANGE ,Queens,109-21,46 AVENUE,401193686
ADDRESS NUMBER OUT OF RANGE ,Queens,29-31A,FAR ROCKAWAY BOULEVARD,401095051
ADDRESS NUMBER OUT OF RANGE ,Queens,3018,BESSEMUND AVENUE,401805294
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,370,15 STREET,301575463
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,106,SCOTT AVENUE,310010957
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,311A,GATES AVENUE,300991728
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1480,RICHMOND TERRACE,500863728
ADDRESS NUMBER OUT OF RANGE ,Queens,30-91,38 STREET,402400996
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,8GAR,EAST 4TH STREET,320934593
ADDRESS NUMBER OUT OF RANGE ,Queens,66-28,58TH AVENUE,420175955
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,35A,LINCOLN ROAD,302389029
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,90,CONGRESS STREET,302407278
ADDRESS NUMBER OUT OF RANGE ,Staten Island,88,VAN NAME AVENUE,500644635
'LEIF ERIKSON DRIVE' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. ,Brooklyn,3551,LEIF ERIKSON DRIVE,301338602
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2353,CROPSEY AVENUE,302391392
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1712 GAR,OCEAN AVENUE,321122771
ADDRESS NUMBER OUT OF RANGE ,Queens,172-17,HIGHLAND AVENUE,402312582
ADDRESS NUMBER OUT OF RANGE ,Staten Island,55,PETRUS AVENUE,500464883
ADDRESS NUMBER OUT OF RANGE ,Staten Island,34,RHETT AVENUE,500566577
ADDRESS NUMBER OUT OF RANGE ,Bronx,1466,CLAY AVENUE,200919925
THIS STREET HAS NO ADDRESSES ,Staten Island,1,MARKHAM COURT,500863826
ADDRESS NUMBER OUT OF RANGE ,Staten Island,142,HAMDEN AVENUE,500582274
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,80,OCEANA DRIVE WEST,301047524
ADDRESS NUMBER OUT OF RANGE ,Queens,50-50,2ND ST,420187292
ADDRESS NUMBER OUT OF RANGE ,Staten Island,447,WILLOWBROOK ROAD,520056000
ADDRESS NUMBER OUT OF RANGE ,Queens,50-50,2ND ST,420187283
ADDRESS NUMBER OUT OF RANGE ,Staten Island,50,MURRAY HULBERT AVE,520127318
ADDRESS NUMBER OUT OF RANGE ,Manhattan,103,MORNINGSIDE AVENUE,122103268
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1610 GARAGE,NEW YORK AVENUE,321477406
ADDRESS NUMBER OUT OF RANGE ,Staten Island,109,BADEN PLACE,500626511
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,86,CONGRESS STREET,302407296
ADDRESS NUMBER OUT OF RANGE ,Staten Island,626,HUNTER AVE,500787053
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2136,85 STREET,301287248
ADDRESS NUMBER OUT OF RANGE ,Queens,24-19,JACKSON AVENUE,402678777
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1509,BUSHWICK AVE,310276803
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,140GAR,BAY 10 STREET,321496145
ADDRESS NUMBER OUT OF RANGE ,Queens,86-29,MARENGO STREET,420165671
'LINCOLN PLACD' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,153,LINCOLN PLACD,301737342
ADDRESS NUMBER OUT OF RANGE ,Queens,161-33,75 AVENUE,401289280
ADDRESS NUMBER OUT OF RANGE ,Queens,59-05,60 ROAD,401868172
ADDRESS NUMBER OUT OF RANGE ,Queens,89-02,BEACH CHANNEL DRIVE,402126481
ADDRESS NUMBER OUT OF RANGE ,Staten Island,347,PARKINSON AVENUE,500446733
ADDRESS NUMBER OUT OF RANGE ,Staten Island,43,CROMWELL AVENUE,500588848
ADDRESS NUMBER OUT OF RANGE ,Staten Island,36,PEARSALL STREET,500505410
ADDRESS NUMBER OUT OF RANGE ,Staten Island,440,BRADLEY AVENUE,500799022
ADDRESS NUMBER OUT OF RANGE ,Staten Island,83,PERKIOMEN AVENUE,500802615
ADDRESS NUMBER OUT OF RANGE ,Staten Island,3354,RICHMOND ROAD,500823549
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,40,MESEROLE STREET,302251239
ADDRESS NUMBER OUT OF RANGE ,Queens,111-02,BEACH CHANNEL DRIVE,402245469
ADDRESS NUMBER OUT OF RANGE ,Queens,7174,PARSONS BOULEVARD,402478751
ADDRESS NUMBER OUT OF RANGE ,Staten Island,28,SMITH TERRACE,500914987
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2041,57TH STREET,320704216
ADDRESS NUMBER OUT OF RANGE ,Queens,1738 A,HARMAN STREET,420890931
ADDRESS NUMBER OUT OF RANGE ,Staten Island,128,BARD AVENUE,520230027
ADDRESS NUMBER OUT OF RANGE ,Staten Island,89,GRAVES STREET,520180385
ADDRESS NUMBER OUT OF RANGE ,Queens,140-11,34 AVENUE,401213833
ADDRESS NUMBER OUT OF RANGE ,Staten Island,298,MOSEL AVENUE,500391300
'FATHER CAPODANO BOULEVARD' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Staten Island,413,FATHER CAPODANO BOULEVARD,500439518
'FATHER CAPODANO BOULEVARD' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Staten Island,409,FATHER CAPODANO BOULEVARD,500439536
ADDRESS NUMBER OUT OF RANGE ,Staten Island,36,PEARSALL STREET,500528137
ADDRESS NUMBER OUT OF RANGE ,Staten Island,30,RHETT AVENUE,500643182
ADDRESS NUMBER OUT OF RANGE ,Queens,30-20,29 STREET,420246068
ADDRESS NUMBER OUT OF RANGE ,Staten Island,6,NASH COURT,520035612
ADDRESS NUMBER OUT OF RANGE ,Staten Island,43GARAGE,NUGENT AVENUE,520225596
ADDRESS NUMBER OUT OF RANGE ,Bronx,3221 GAR,PEARSALL AVENUE,220526018
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,810,PACIFIC STREET,320230479
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2042,EAST 15 STREET,320583114
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1430GAR,51 STREET,321116975
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,129D,DEGRAW STREET,302052365
ADDRESS NUMBER OUT OF RANGE ,Bronx,4463,WHITEPLAINS ROAD,201044075
ADDRESS NUMBER OUT OF RANGE ,Bronx,2,SAMANTHA WAY,200850962
THIS STREET HAS NO ADDRESSES ,Bronx,3405,BRUCKNER EXPRESSWAY,201105035
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,1294,ST MARK''S AVENUE,302347164
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,408,HALSEY STREET,301806534
ADDRESS NUMBER OUT OF RANGE ,Queens,246-06,63 AVENUE,402020763
THIS STREET HAS NO ADDRESSES ,Queens,90-40,PAULINE ROAD,402625307
'ST STEPHEN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Staten Island,109,ST STEPHEN''S PLACE,500795071
ADDRESS NUMBER OUT OF RANGE ,Queens,124-15,135 AVENUE,401422867
ADDRESS NUMBER OUT OF RANGE ,Staten Island,231,BIONIA AVENUE,500848988
'STREET' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,150 NORTH 12,STREET,302256412
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,05,COOK STREET,301540777
ADDRESS NUMBER OUT OF RANGE ,Queens,195-20,CARPENTER AVENUE,401640569
ADDRESS NUMBER OUT OF RANGE ,Staten Island,244,RARITAN AVENUE,520365248
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,463,DEAN STREET,302148254
ADDRESS NUMBER OUT OF RANGE ,Queens,112-47,NORTHERN BOULEVARD,420971390
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,415A,GATES AVENUE,302032271
ADDRESS NUMBER OUT OF RANGE ,Queens,43-20,215 STREET,402310432
ADDRESS NUMBER OUT OF RANGE ,Queens,21-19,31ST AVENUE,421195986
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,6807,AVENUE V,302013979
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,889,VAN SICLEN AVENUE,310196187
ADDRESS NUMBER OUT OF RANGE ,Bronx,2425,LODOVICK AVENUE,200852782
ADDRESS NUMBER OUT OF RANGE ,Queens,45-55GAR,158 ST,421259257
ADDRESS NUMBER OUT OF RANGE ,Staten Island,27,VAUGHAN STREET,500803311
ADDRESS NUMBER OUT OF RANGE ,Queens,150-55,JEWELS ROAD,402631826
ADDRESS NUMBER OUT OF RANGE ,Queens,1128,MCBRIDE ST,410127312
THIS STREET HAS NO ADDRESSES ,Staten Island,6,WAHLER PLACE,520036096
ROCKAWAY POINT BOULEVARD IS AN INVALID STREET NAME FOR THIS LOCATION ,Queens,180-04,ROCKAWAY POINT BOULEVARD,410057101
ADDRESS NUMBER OUT OF RANGE ,Staten Island,552,BLOOMINGDALE ROAD,510051499
ADDRESS NUMBER OUT OF RANGE ,Manhattan,758,11 AVENUE,104809744
ADDRESS NUMBER OUT OF RANGE ,Staten Island,232,JOHNSON AVENUE,500757825
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2203,BERGEN AVENUE,301000271
ADDRESS NUMBER OUT OF RANGE ,Manhattan,506,WEST 166 STREET,104858263
ADDRESS NUMBER OUT OF RANGE ,Manhattan,326,GRAND STREET,104935572
ADDRESS NUMBER OUT OF RANGE ,Staten Island,345B,VAN NAME AVENUE,500706373
ADDRESS NUMBER OUT OF RANGE ,Queens,14-53,31 AVE.,420967421
ADDRESS NUMBER OUT OF RANGE ,Queens,129-10,6TH AVENUE,410126019
'ST. JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,941,ST. JOHN''S PLACE,321797837
ADDRESS NUMBER OUT OF RANGE ,Bronx,630,CITY ISLAND AVENUE,200773840
ADDRESS NUMBER OUT OF RANGE ,Manhattan,256,EAST 49 STREET,104564482
ADDRESS NUMBER OUT OF RANGE ,Queens,38-28,27 STREET,421613926
ADDRESS NUMBER OUT OF RANGE ,Staten Island,500,HOLTEN AVENUE,500731381
ADDRESS NUMBER OUT OF RANGE ,Queens,1036,GARDEN COURT,402533601
ADDRESS NUMBER OUT OF RANGE ,Queens,41-21,WARREN STREET,401454797
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,172,WEST STREET,302355635
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,658,STANLEY AVENUE,310196025
ADDRESS NUMBER OUT OF RANGE ,Staten Island,264,HOOKER PLACE,500808851
'BISTEST STREET' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. ,Manhattan,1,BISTEST STREET,130000238
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,547,VARICK AVENUE,320848320
ADDRESS NUMBER OUT OF RANGE ,Bronx,2191,NEW ENGLAND THRUWAY,200766876
ADDRESS NUMBER OUT OF RANGE ,Staten Island,63,BEDELL AVENUE,520191550
ADDRESS NUMBER OUT OF RANGE ,Staten Island,39,VAUGHAN STREET,500803339
ADDRESS NUMBER OUT OF RANGE ,Staten Island,35,VAUGHAN STREET,500803320
ADDRESS NUMBER OUT OF RANGE ,Bronx,1024,SOUTHERN BLVD,220291609
ADDRESS NUMBER OUT OF RANGE ,Queens,84-22,247 STREET,421378681
ADDRESS NUMBER OUT OF RANGE ,Staten Island,34,RHETT AVENUE,500566568
ADDRESS NUMBER OUT OF RANGE ,Manhattan,917,2 AVENUE,103122185
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,364A,SOUTH 3 STREET,301019038
'ST MARY''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Staten Island,207,ST MARY''S AVENUE,500551299
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,530,BROADWAY,301501827
ADDRESS NUMBER OUT OF RANGE ,Queens,70-27,QUEENS MIDTOWN EXPRESSWAY,401428870
ADDRESS NUMBER OUT OF RANGE ,Queens,55-07,ANDREWS AVENUE,401755230
ADDRESS NUMBER OUT OF RANGE ,Queens,42-33,MAIN STREET,401123351
ADDRESS NUMBER OUT OF RANGE ,Queens,107-14,37 AVENUE,402564355
'ST ANN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Bronx,732,ST ANN''S AVENUE,200700438
ADDRESS NUMBER OUT OF RANGE ,Bronx,1568,ST PETERS AVENUE,200842482
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2114,EAST 4 STREET,301434990
'ST. JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,186,ST. JOHN''S PLACE,320548421
ADDRESS NUMBER OUT OF RANGE ,Queens,46-09,69 STREET,421587205
ADDRESS NUMBER OUT OF RANGE ,Queens,89-35,70 DRIVE,402075286
ADDRESS NUMBER OUT OF RANGE ,Queens,80-30,COOPER AVENUE,401823023
ADDRESS NUMBER OUT OF RANGE ,Queens,43-11,HUNTER ST,420799942
ADDRESS NUMBER OUT OF RANGE ,Bronx,2689,MARION AVENUE,220194803
ADDRESS NUMBER OUT OF RANGE ,Queens,64-84,WETHEROLE,420947701
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2840,BRIGHTON 3 STREET,301939482
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3068,BRIGHTON 1 STREET,302140145
ADDRESS NUMBER OUT OF RANGE ,Staten Island,24,KELL AVENUE,500778447
ADDRESS NUMBER OUT OF RANGE ,Staten Island,386GAR,BRIGHTON STREET,520253476
ADDRESS NUMBER OUT OF RANGE ,Staten Island,82,REID AVE,520021994
ADDRESS NUMBER OUT OF RANGE ,Bronx,236,CITY ISLAND AVENUE,210120910
ADDRESS NUMBER OUT OF RANGE ,Manhattan,552,WEST 29TH STREET,120592135
ADDRESS NBR 29-04 GARA  HAS AN EMBEDDED BLANK. ,Queens,29-04 GARA,HOYT AVE,421200934
ADDRESS NUMBER OUT OF RANGE ,Queens,33-16 REAR,101 STREET,420858682
ADDRESS NUMBER OUT OF RANGE ,Queens,112-08 REAR,37 AVENUE,421268666
THIS STREET HAS NO ADDRESSES ,Queens,424,ABBOT ROAD,410186588
ADDRESS NUMBER OUT OF RANGE ,Staten Island,408,CLOVE ROAD,500479886
'ST JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,615,ST JOHN''S PLACE,320596752
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2187,FLATBUSH AVENUE,320690588
ADDRESS NUMBER OUT OF RANGE ,Manhattan,829,11TH AVE,122109556
ADDRESS NUMBER OUT OF RANGE ,Queens,66-35,58 AVENUE,420059386
ADDRESS NUMBER OUT OF RANGE ,Staten Island,95,HETT AVENUE,520201898
ADDRESS NUMBER OUT OF RANGE ,Queens,41-08,70 STREET,420003043
ADDRESS NUMBER OUT OF RANGE ,Queens,110-48GAR,JEWEL AVE,420849381
ADDRESS NUMBER OUT OF RANGE ,Manhattan,1766,1 AVENUE,102840240
ADDRESS NUMBER OUT OF RANGE ,Queens,150-88,POWELLS COVE BOULEVARD,401086347
ADDRESS NUMBER OUT OF RANGE ,Queens,141-24,9 AVENUE,401545789
ADDRESS NUMBER OUT OF RANGE ,Queens,211-57,94 ROAD,401610565
ADDRESS NUMBER OUT OF RANGE ,Staten Island,78,HANOVER AVENUE,500910259
ADDRESS NUMBER OUT OF RANGE ,Queens,1728,STOCKHOLM STREET,401903071
ADDRESS NUMBER OUT OF RANGE ,Queens,133-06,AVERY AVENUE,402092230
ADDRESS NUMBER OUT OF RANGE ,Queens,99-33,66 AVENUE,402139672
ADDRESS NUMBER OUT OF RANGE ,Queens,137-55,WESTGATE STREET,402128568
ADDRESS NUMBER OUT OF RANGE ,Staten Island,415,JEWETT AVENUE,500566318
ADDRESS NUMBER OUT OF RANGE ,Staten Island,90,SATTERLEE STREET,500665087
ADDRESS NUMBER OUT OF RANGE ,Staten Island,94,SUMMIT AVENUE,500733067
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,629,BEVERLY ROAD,301876780
ADDRESS NUMBER OUT OF RANGE ,Queens,111-13,37 AVENUE,401756202
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,216,MYRTLE AVENUE,302391882
ADDRESS NUMBER OUT OF RANGE ,Queens,97-15,34 AVENUE,402549015
ADDRESS NUMBER OUT OF RANGE ,Queens,44-26,HUNTER STREET,402245441
ADDRESS NUMBER OUT OF RANGE ,Queens,64-01,ROCKAWAY BEACH BOULEVARD,402669563
ADDRESS NUMBER OUT OF RANGE ,Staten Island,133,RIDGEWOOD AVENUE,500508998
THIS STREET HAS NO ADDRESSES ,Queens,6,WOODROW COTTAGES,420366482
ADDRESS NUMBER OUT OF RANGE ,Queens,44-04,72 STREET,420195032
ADDRESS NUMBER OUT OF RANGE ,Queens,66-28,58TH AVE,420175964
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1519,BEDFORD AVENUE,321027535
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,575,OCEAN PARKWAY,321108788
ADDRESS NUMBER OUT OF RANGE ,Staten Island,7017,HYLAN BLVD,520197625
ADDRESS NUMBER OUT OF RANGE ,Queens,1847,GATEWAY BOULEVARD,402584583
ADDRESS NUMBER OUT OF RANGE ,Queens,90-15,192 STREET,401200669
ADDRESS NUMBER OUT OF RANGE ,Queens,4-26,BEACH 72 STREET,401874334
ADDRESS NUMBER OUT OF RANGE ,Queens,46-27,5 STREET,402667770
ADDRESS NUMBER OUT OF RANGE ,Staten Island,148,KISWICK STREET,500400924
ADDRESS NBR 68 CHURCHILL  HAS AN UNKNOWN OR INVALID SUFFIX/ENDING. ,Staten Island,68 CHURCHILL,AVE,500420323
'FATHER CAPODANO BOULEVARD' NOT RECOGNIZED. THERE ARE 004 SIMILAR NAMES. ,Staten Island,407,FATHER CAPODANO BOULEVARD,500439545
ADDRESS NUMBER OUT OF RANGE ,Staten Island,110,HIGHLAND ROAD,500516970
'REIDEL AVE' NOT RECOGNIZED. THERE ARE 003 SIMILAR NAMES. ,Staten Island,281,REIDEL AVE,500667593
ADDRESS NUMBER OUT OF RANGE ,Queens,30-20,29 STREET,420246077
ADDRESS NUMBER OUT OF RANGE ,Staten Island,324,ROBINSON AVE,520232365
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,525,6TH STREET,321166000
ADDRESS NUMBER OUT OF RANGE ,Queens,132-24,POPLE AVENUE,402675529
ADDRESS NUMBER OUT OF RANGE ,Staten Island,38,SEAVIEW AVE,520328949
ADDRESS NUMBER OUT OF RANGE ,Queens,35-14,ASTORIA BOULEVARD,420130851
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,111-119,ARLINGTON AVENUE,302390204
